X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Lat,Long,FID
-79.3772125,43.6636009,64384,GO-2016894757,2016-05-22T04:00:00.000Z,2016-05-24T04:00:00.000Z,Apartment,2130,200,Theft From Mail / Bag / Key,2016,May,24,145,Tuesday   ,15,2016,May,22,143,Sunday    ,4,Theft Over,D51,71,Cabbagetown-South St.James Town (71),43.6636009,-79.3772125,2479
-79.6178741,43.7350426,64395,GO-2016884281,2016-05-22T04:00:00.000Z,2016-05-22T04:00:00.000Z,Commercial,2130,210,Theft Over,2016,May,22,143,Sunday    ,22,2016,May,22,143,Sunday    ,22,Theft Over,D23,1,West Humber-Clairville (1),43.7350426,-79.6178741,2480
-79.2966156,43.717857399999986,64413,GO-2016882436,2016-05-22T04:00:00.000Z,2016-05-22T04:00:00.000Z,House,2130,211,Theft Over - Distraction,2016,May,22,143,Sunday    ,16,2016,May,22,143,Sunday    ,15,Theft Over,D41,120,Clairlea-Birchmount (120),43.7178574,-79.2966156,2481
-79.345001200000013,43.734092699999984,64455,GO-2016882190,2016-05-22T04:00:00.000Z,2016-05-22T04:00:00.000Z,Commercial,2130,210,Theft Over,2016,May,22,143,Sunday    ,15,2016,May,22,143,Sunday    ,14,Theft Over,D33,42,Banbury-Don Mills (42),43.7340927,-79.3450012,2482
-79.3833847,43.662056,64475,GO-20169005095,2016-05-23T04:00:00.000Z,2016-05-27T04:00:00.000Z,Apartment,2130,200,Theft From Mail / Bag / Key,2016,May,27,148,Friday    ,22,2016,May,23,144,Monday    ,8,Theft Over,D51,75,Church-Yonge Corridor (75),43.662056,-79.3833847,2483
-79.163208,43.7655373,64489,GO-20161135584,2016-06-28T04:00:00.000Z,2016-06-29T04:00:00.000Z,Outside,2130,210,Theft Over,2016,June,29,181,Wednesday ,8,2016,June,28,180,Tuesday   ,20,Theft Over,D43,136,West Hill (136),43.7655373,-79.163208,2484
-79.3061523,43.7006683,64492,GO-20161215393,2016-06-28T04:00:00.000Z,2016-07-11T04:00:00.000Z,Outside,2130,200,Theft From Mail / Bag / Key,2016,July,11,193,Monday    ,18,2016,June,28,180,Tuesday   ,11,Theft Over,D54,54,O'Connor-Parkview (54),43.7006683,-79.3061523,2485
-79.4661942,43.6772728,64493,GO-20161215267,2016-06-28T04:00:00.000Z,2016-07-11T04:00:00.000Z,House,2130,200,Theft From Mail / Bag / Key,2016,July,11,193,Monday    ,15,2016,June,28,180,Tuesday   ,11,Theft Over,D12,91,Weston-Pellam Park (91),43.6772728,-79.4661942,2486
-79.2836304,43.7182388,64495,GO-20162050588,2016-06-28T04:00:00.000Z,2016-11-10T05:00:00.000Z,Apartment,2130,200,Theft From Mail / Bag / Key,2016,November,10,315,Thursday  ,10,2016,June,28,180,Tuesday   ,9,Theft Over,D41,120,Clairlea-Birchmount (120),43.7182388,-79.2836304,2487
-79.5111389,43.6004333,64515,GO-20161332136,2016-07-29T04:00:00.000Z,2016-07-29T04:00:00.000Z,Apartment,2130,210,Theft Over,2016,July,29,211,Friday    ,12,2016,July,29,211,Friday    ,12,Theft Over,D22,18,New Toronto (18),43.6004333,-79.5111389,2488
-79.389503499999989,43.6652336,64556,GO-20169007958,2016-07-29T04:00:00.000Z,2016-07-30T04:00:00.000Z,Outside,2130,210,Theft Over,2016,July,30,212,Saturday  ,16,2016,July,29,211,Friday    ,17,Theft Over,D52,76,Bay Street Corridor (76),43.6652336,-79.3895035,2489
-79.4671021,43.67136,64561,GO-2016257174,2015-10-01T04:00:00.000Z,2016-02-12T05:00:00.000Z,Commercial,2130,210,Theft Over,2016,February,12,43,Friday    ,19,2015,October,1,274,Thursday  ,9,Theft Over,D11,90,Junction Area (90),43.67136,-79.4671021,2490
-79.2027206,43.8089371,64566,GO-20161414319,2015-10-01T04:00:00.000Z,2016-08-11T04:00:00.000Z,Other,2130,210,Theft Over,2016,August,11,224,Thursday  ,16,2015,October,1,274,Thursday  ,12,Theft Over,D42,131,Rouge (131),43.8089371,-79.2027206,2491
-79.4471054,43.7901917,64568,GO-20171790986,2015-10-01T04:00:00.000Z,2017-10-03T04:00:00.000Z,Commercial,2130,210,Theft Over,2017,October,3,276,Tuesday   ,8,2015,October,1,274,Thursday  ,8,Theft Over,D32,35,Westminster-Branson (35),43.7901917,-79.4471054,2492
-79.5827103,43.7444992,64570,GO-2016146789,2015-10-01T04:00:00.000Z,2016-01-25T05:00:00.000Z,Apartment,2130,200,Theft From Mail / Bag / Key,2016,January,25,25,Monday    ,13,2015,October,1,274,Thursday  ,12,Theft Over,D23,2,Mount Olive-Silverstone-Jamestown (2),43.7444992,-79.5827103,2493
