OBJECTID,AREA_S_CD,Neighbourhood,Assault_2014,AutoTheft_2014,BreakandEnter_2014,Robbery_2014,TheftOver_2014,Homicide_2014,Total_2014,Assault_2015,AutoTheft_2015,BreakandEnter_2015,Robbery_2015,TheftOver_2015,Homicide_2015,Total_2015,Assault_2016,AutoTheft_2016,BreakandEnter_2016,Robbery_2016,TheftOver_2016,Homicide_2016,Total_2016,Assault_2017,AutoTheft_2017,BreakandEnter_2017,Robbery_2017,TheftOver_2017,Homicide_2017,Total_2017,Assault_AVG,AutoTheft_AVG,BreakandEnter_AVG,Robbery_AVG,TheftOver_AVG,Homicide_AVG,Total_AVG,Assault_ch,AutoTheft_ch,BreakandEnter_ch,Robbery_ch,TheftOver_ch,Homicide_ch,Total_ch,Population,Assault_Rate,AutoTheft_Rate,BreakandEnter_Rate,Robbery_Rate,TheftOver_Rate,Homicide_Rate,Total_Rate,Shape__Area,Shape__Length
97,37,Willowdale West (37),52,8,30,10,3,0,103,77,13,12,0,3,0,105,61,10,33,5,3,0,112,48,11,27,11,1,1,99,60,11,26,7,3,0,105,-0.21,0.1,-0.18,1.2,-0.67,N/A,-0.12,6954,862.8127696,158.1823411,373.8855335,100.6614898,43.14063848,0,1509.922347,2883478.935,7476.957769
98,131,Rouge (131),194,64,75,31,12,1,377,189,56,79,40,10,0,374,169,22,79,37,14,0,321,216,42,71,51,14,4,398,192,46,76,40,13,1,368,0.28,0.91,-0.1,0.38,0,N/A,0.24,63639,301.7017866,72.28271972,119.4236239,62.85453888,20.42772514,1.571363472,578.2617577,37535802.64,36134.43931
99,2,Mount Olive-Silverstone-Jamestown (2),251,67,28,77,6,2,431,239,58,38,107,5,3,450,283,44,34,115,3,1,480,286,48,40,88,1,0,463,265,54,35,97,4,2,456,0.01,0.09,0.18,-0.23,-0.67,-100%,-0.04,33484,791.4227691,161.2710548,104.5275355,289.6905985,11.94600406,5.973002031,1361.844463,4637675.931,12954.78098
100,71,Cabbagetown-South St.James Town (71),95,11,83,14,4,2,209,101,9,75,22,5,0,212,126,10,54,25,7,0,222,118,12,62,44,7,0,243,110,11,69,26,6,1,222,-0.06,0.2,0.15,0.76,0,N/A,0.09,26421,416.3354907,41.63354907,261.1558987,98.40657053,22.70920858,3.784868097,840.2407176,1417944.175,5759.129512
101,99,Mount Pleasant East (99),40,7,27,2,2,0,78,41,4,17,6,4,0,72,23,10,14,3,2,0,52,48,13,30,7,3,0,101,38,9,22,5,3,0,76,1.09,0.3,1.14,1.33,0.5,N/A,0.94,33503,113.4226786,26.86326598,65.66576128,14.92403665,8.954421992,0,226.8453571,3088929.066,11249.85922
102,104,Mount Pleasant West (104),123,12,61,19,9,0,224,135,5,79,24,8,0,251,137,6,40,20,4,1,208,156,9,55,16,4,0,240,138,8,59,20,6,0,231,0.14,0.5,0.38,-0.2,0,-100%,0.15,15234,905.8684521,52.51411317,387.2915846,131.2852829,39.38558488,0,1516.345018,1343255.547,5182.324044
103,69,Blake-Jones (69),63,2,15,11,1,0,92,39,6,27,10,0,0,82,61,2,15,9,1,1,89,47,6,13,15,1,0,82,53,4,18,11,1,0,86,-0.23,2,-0.13,0.67,0,-100%,-0.08,9167,578.1607942,43.63477692,196.3564961,119.9956365,10.90869423,0,938.1477037,941218.8796,4042.868575
104,4,Rexdale-Kipling (4),57,14,16,12,1,0,100,63,10,14,15,2,0,104,78,29,17,16,1,0,141,87,30,15,32,1,1,166,71,21,16,19,1,0,128,0.12,0.03,-0.12,1,0,N/A,0.18,6862,1034.683766,306.0332265,233.1681725,276.8872049,14.57301078,0,1865.34538,2505699.033,7067.233124
105,62,East End-Danforth (62),193,21,88,35,4,3,344,211,16,97,35,10,0,369,166,22,87,39,12,0,326,178,26,71,39,9,0,323,187,21,86,37,9,1,341,0.07,0.18,-0.18,0,-0.25,N/A,-0.01,13115,1425.848265,160.1219977,655.7377049,282.1197103,68.62371331,7.624857034,2600.076249,2638999.115,7372.198808
106,18,New Toronto (18),87,9,26,21,3,0,146,107,15,45,16,5,0,188,98,10,43,19,5,1,176,105,13,26,27,1,0,172,99,12,35,21,4,0,171,0.07,0.3,-0.4,0.42,-0.8,-100%,-0.02,8545,1158.572264,140.4330018,409.5962551,245.7577531,46.81100059,0,2001.170275,3481394.359,11322.02868
